RR,RF ACC,NB ACC,LR ACC
AuthorUnresponsive,91.24115148655027+-0.546898899700547,71.61868806040586+-0.43967209811617586,99.64134025483719+-0.12750595645215854
BiasIssuesorLackofBalance,94.03837154890033+-0.6186801640070558,88.92840430510061+-2.863965423762274,99.95320542817034+-0.0810505759274168
BreachofPolicybyAuthor,69.59141981613892+-1.1587949173353822,62.461695607763026+-1.631525316135169,84.73953013278856+-0.628005154195682
CitesRetractedWork,92.4433962264151+-0.6927702218468086,77.00943396226415+-0.7064456835015579,99.73584905660377+-0.12300381896608825
CivilProceedings,95.79391100702577+-0.34002232155281126,95.22248243559719+-0.46011434904891063,99.94379391100702+-0.039187823256862334
ComplaintsaboutAuthor,99.98126463700234+-0.025654452342164808,95.30679156908666+-2.319896441044879,99.89695550351288+-0.06106981175833849
ConcernsIssuesAboutAuthorship,87.7520113582584+-1.0256773923413547,74.51017510648367+-1.8066539935919854,99.26171320397539+-0.17259425015438748
ConcernsIssuesAboutData,66.24497991967871+-1.1819064567614068,59.3574297188755+-0.9999919355814247,87.45983935742971+-0.5161169944769012
ConcernsIssuesAboutImage,79.51102588686481+-1.1963548040125875,68.00575263662512+-0.8639601400628084,97.94822627037392+-0.18379951594133162
ConcernsIssuesaboutReferencingAttributions,86.13701236917221+-1.400236665330727,72.68315889628924+-0.4233795520701605,98.9058039961941+-0.33471092482088866
ConcernsIssuesAboutResults,79.14204003813155+-1.4416425569978049,70.50524308865586+-0.7356400999321424,98.81792183031457+-0.2005308290558875
ConcernsIssuesaboutThirdPartyInvolvement,99.22175339896859+-0.11767370274740542,88.29817158931083+-1.43952407148807,99.915611814346+-0.03922456758246753
ConflictofInterest,96.89639006094703+-0.6196630453548818,87.17299578059072+-0.5045026179958586,99.88748241912799+-0.07110056675153723
ContaminationofCellLinesTissues,94.02621722846442+-0.35127961577348704,92.00374531835206+-0.5013955331644339,99.99063670411985+-0.020936966081457516
ContaminationofMaterials(General),100.0+-0.0,98.89564810481984+-0.32856321350569934,99.98128217126813+-0.02563044255990317
ContaminationofReagents,100.0+-0.0,99.55119214586256+-0.2053845968816132,99.98129967274427+-0.025606477676724904
CopyrightClaims,88.8321513002364+-1.4280212241349033,82.93144208037825+-1.7083547768453595,99.62174940898345+-0.1495166742396413
